IRIS;DEC_PIMP21;DEC_TP6021;DEC_INCERT21;DEC_Q121;DEC_MED21;DEC_Q321;DEC_EQ21;DEC_D121;DEC_D221;DEC_D321;DEC_D421;DEC_D621;DEC_D721;DEC_D821;DEC_D921;DEC_RD21;DEC_S80S2021;DEC_GI21;DEC_PACT21;DEC_PTSA21;DEC_PCHO21;DEC_PBEN21;DEC_PPEN21;DEC_PAUT21;DEC_NOTE21
332360101;59,0;13,0;1;18140;25250;34310;0,64;12160;16660;19630;22650;28370;31730;37160;46680;3,8;5,1;0,309;63,9;52,5;3,7;7,7;29,8;6,3;0
332360102;65,0;12,0;1;20210;31890;51730;0,99;12610;18050;22340;26850;38390;46220;58240;84080;6,7;10,9;0,472;45,4;35,4;1,9;8,1;33,2;21,4;0
332380101;64,0;12,0;1;19590;27590;37440;0,65;11890;17970;21110;24670;31000;34850;40420;50680;4,3;5,2;0,305;65,3;57,1;3,0;5,2;28,0;6,7;0
332380102;66,0;9,0;1;20580;28720;37850;0,60;14360;19190;22560;25390;31660;35980;39940;48530;3,4;4,7;0,294;72,0;65,0;2,1;4,9;21,8;6,2;0
332380103;71,0;5,0;2;22650;29730;38850;0,54;17170;21000;24330;27050;32650;36190;41860;52070;3,0;3,9;0,270;63,2;57,1;1,3;4,8;30,5;6,3;0
332380104;67,0;10,0;1;20770;29480;40400;0,67;13690;19180;22840;26060;33110;38310;43220;52280;3,8;5,0;0,305;70,9;64,5;2,2;4,2;23,1;6,0;0
332430101;51,0;25,0;1;13820;21460;30350;0,77;6610;12390;15690;18390;24980;28210;33160;41710;6,3;8,0;0,367;62,2;54,6;3,0;4,6;31,8;6,0;0
332430102;49,0;21,0;2;15070;23270;33130;0,78;7740;13480;17000;20470;26530;30500;36180;49360;6,4;8,5;0,382;64,3;56,1;2,5;5,7;26,8;8,9;0
332430103;36,0;39,0;1;7780;17180;27130;1,13;790;6170;9870;13890;20620;24500;30450;41230;52,3;25,5;0,465;72,4;60,8;4,5;7,1;21,8;5,8;0
332430104;51,0;25,0;2;13740;21230;28640;0,70;6220;11480;15280;18500;24200;27320;30850;38650;6,2;7,8;0,344;54,6;48,4;2,0;4,2;40,6;4,8;0
332430105;44,0;30,0;1;11470;20700;29640;0,88;4300;9590;13740;17350;23810;27540;32200;42780;10,0;11,7;0,393;67,6;60,5;3,5;3,6;26,5;5,9;0
332430106;48,0;25,0;1;13920;20710;28230;0,69;7210;11920;15380;18130;23660;26330;31450;39350;5,5;6,7;0,324;63,0;57,7;3,1;2,2;31,7;5,3;0
332430107;44,0;29,0;1;12200;19860;28950;0,84;5520;10160;14160;16820;23150;26710;31470;41160;7,5;9,3;0,368;64,9;55,6;3,6;5,7;30,7;4,4;0
332430108;56,0;22,0;1;14710;22380;30720;0,72;7670;12900;16320;19310;25720;28370;33240;42070;5,5;6,9;0,335;61,7;53,9;2,9;4,9;32,8;5,5;0
332430109;38,0;43,0;1;8070;15760;25240;1,09;3090;6740;9270;12710;19540;22950;27890;34540;11,2;13,3;0,410;63,8;54,4;4,7;4,7;32,7;3,5;0
332490101;37,0;47,0;2;7660;14490;22350;1,01;2780;6760;8840;11730;17380;20460;23570;27190;9,8;9,2;0,356;78,5;71,1;5,7;1,7;20,9;0,6;0
332490102;29,0;53,0;2;7230;13270;19400;0,92;2820;6040;8460;10840;15400;17780;20500;25580;9,1;9,7;0,362;80,7;70,9;7,6;2,2;17,7;1,6;0
332490103;56,0;21,0;1;15170;23200;31930;0,72;6970;13480;17310;20500;26670;29880;35120;42580;6,1;7,0;0,329;73,4;64,4;3,5;5,5;21,7;4,9;0
332490104;31,0;49,0;2;8180;13880;20060;0,86;2410;6630;9010;11280;16140;18420;21860;26160;10,8;10,8;0,363;69,9;62,5;5,3;2,1;28,2;1,9;0
332490105;43,0;31,0;2;10730;18170;24190;0,74;5330;9240;13060;15640;20240;22950;26020;30810;5,8;7,3;0,324;68,8;61,5;4,3;3,0;30,3;0,9;0
332490106;61,0;15,0;2;17290;24820;32930;0,63;11110;15420;19240;22490;27580;30890;35240;43040;3,9;4,8;0,281;63,1;56,2;2,5;4,4;33,6;3,3;0
332490107;22,0;65,0;1;6090;10630;16350;0,96;1880;5130;7060;8650;12700;14920;17760;21680;11,6;11,1;0,370;81,3;71,9;8,2;1,2;18,0;0,7;0
332490108;49,0;24,0;1;14040;20840;29120;0,72;8410;12190;15530;18060;23650;26930;31360;37230;4,4;5,5;0,301;63,3;56,5;3,1;3,7;33,6;3,1;0
332490109;31,0;47,0;2;7610;14560;20890;0,91;2810;6530;8980;12080;16900;19660;22420;27160;9,7;10,3;0,354;61,8;54,3;5,2;2,3;37,3;0,9;0
332490110;43,0;40,0;1;9580;16290;22460;0,79;3370;8030;10940;13780;18530;21130;23800;28370;8,4;8,6;0,333;87,7;78,8;6,2;2,7;11,0;1,3;0
332730101;76,0;4,0;1;23190;30360;39270;0,53;17280;21540;24720;27680;33560;37220;41620;50850;2,9;3,8;0,270;64,3;59,2;2,4;2,7;29,0;6,7;0
332730102;68,0;8,0;1;20270;27410;36260;0,58;14630;18810;21690;24760;30300;34240;38460;47730;3,3;4,4;0,283;77,1;70,0;2,8;4,3;18,8;4,1;0
332810101;62,0;15,0;1;16830;24020;31760;0,62;10590;15430;18740;21130;27180;30050;34060;40150;3,8;4,8;0,277;64,7;59,8;2,6;2,3;33,3;2,0;0
332810102;53,0;27,0;2;12640;23210;38000;1,09;6180;11030;15180;19150;29590;35090;41490;53220;8,6;11,6;0,414;62,1;55,5;3,0;3,6;31,7;6,2;0
332810103;40,0;36,0;1;10400;17540;25610;0,87;4780;8920;11950;14960;20200;23430;28280;36770;7,7;9,4;0,380;66,5;60,7;3,4;2,4;30,1;3,4;0
332810104;71,0;10,0;1;21580;30140;41400;0,66;13940;19460;23230;26400;34090;38650;44570;56930;4,1;5,2;0,314;66,1;58,4;1,9;5,8;28,3;5,6;0
332810201;55,0;18,0;1;15640;22430;30260;0,65;9070;14260;16930;19710;25170;28390;32220;38300;4,2;5,5;0,299;69,5;63,9;3,0;2,6;27,6;2,9;0
332810202;62,0;18,0;1;16590;23930;32550;0,67;9260;14580;18060;20980;26870;30830;35460;43450;4,7;5,8;0,308;79,6;72,8;3,3;3,5;17,8;2,6;0
332810203;68,0;11,0;1;19670;26710;36420;0,63;12940;18160;21120;24240;29870;33830;39600;48800;3,8;4,8;0,292;72,9;66,4;3,1;3,4;23,6;3,5;0
332810301;70,0;11,0;1;21370;29550;39760;0,62;12950;19310;23400;26240;32510;37200;43120;54660;4,2;5,5;0,313;74,4;66,3;1,8;6,3;21,0;4,6;0
332810302;63,0;14,0;1;18900;27070;37640;0,69;10450;16630;20530;24010;30880;35140;40580;50730;4,9;6,3;0,323;77,4;70,0;2,3;5,1;18,6;4,0;0
332810401;64,0;12,0;1;19250;26620;36850;0,66;11960;17400;20900;23790;29870;34030;39790;49490;4,1;5,8;0,328;67,2;58,7;2,7;5,8;27,6;5,2;0
332810402;65,0;15,0;2;18380;26190;34900;0,63;11090;16110;19890;23340;28760;32260;36960;45320;4,1;5,1;0,292;75,8;70,4;2,9;2,5;20,8;3,4;0
332810501;54,0;28,0;1;12900;22410;33560;0,92;5210;10860;14620;18460;26170;30740;37120;46900;9,0;11,4;0,396;66,2;60,4;2,9;2,9;28,4;5,4;0
332810502;59,0;17,0;1;16890;23860;33800;0,71;9560;14840;18210;21370;28040;31380;36180;46810;4,9;6,5;0,333;75,1;67,5;2,5;5,1;20,8;4,1;0
332810601;61,0;20,0;1;15910;24580;33370;0,71;8460;13700;17830;21470;27520;31260;36070;45100;5,3;7,3;0,347;73,9;67,3;3,0;3,6;21,1;5,0;0
332810701;63,0;15,0;1;18260;26010;35580;0,67;10380;16410;19820;22890;29540;33290;38520;46490;4,5;5,7;0,308;72,2;65,2;2,9;4,1;24,1;3,7;0
332810801;51,0;30,0;1;12160;20100;27460;0,76;5720;10360;14060;17110;22880;25750;30010;37520;6,6;8,4;0,358;74,3;67,4;3,9;3,0;21,7;4,0;0
332810901;68,0;11,0;1;20380;28560;38540;0,64;13400;18370;22050;25350;32580;36330;42420;55420;4,1;5,8;0,331;69,5;63,5;1,9;4,1;22,8;7,7;0
332811002;61,0;19,0;1;16770;25870;37780;0,81;8190;14180;18350;22110;29170;34020;41330;56250;6,9;8,8;0,380;73,8;66,6;2,3;4,9;20,8;5,4;0
332811003;65,0;11,0;1;19360;25630;32820;0,53;13090;17740;20690;23590;27830;30920;36200;43530;3,3;4,4;0,276;71,6;64,6;2,4;4,6;25,3;3,1;0
332811101;66,0;10,0;1;19770;28110;38800;0,68;13740;17990;21440;24670;31640;35950;42710;53740;3,9;5,6;0,331;79,2;70,9;2,5;5,8;14,2;6,6;0
332811201;68,0;11,0;1;20620;29560;41070;0,69;12800;18660;22570;25960;33290;38030;45660;60520;4,7;6,3;0,343;78,9;68,1;2,3;8,5;16,9;4,2;0
332811301;47,0;31,0;2;10400;18810;27920;0,93;3750;8390;12800;15940;22220;26100;30020;35990;9,6;11,5;0,378;78,8;71,3;4,3;3,2;18,0;3,2;0
332811401;61,0;17,0;1;17250;24770;33260;0,65;9890;15560;18990;21950;27640;30740;35570;43020;4,4;5,6;0,304;78,1;71,4;3,0;3,7;18,1;3,8;0
332811501;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
332811502;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
332811503;45,0;43,0;2;8760;16130;24240;0,96;4600;7680;10240;12990;19800;23030;26270;31070;6,7;8,4;0,356;82,8;75,0;4,7;3,1;15,0;2,2;0
332811504;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
333120101;57,0;16,0;1;16660;23270;30230;0,58;10620;15270;18190;20900;25900;28650;32680;40790;3,8;4,9;0,286;76,6;70,2;3,3;3,1;20,2;3,2;0
333120102;61,0;13,0;1;18370;24810;31400;0,53;11920;16940;19560;22430;27420;29640;33170;40140;3,4;4,1;0,257;78,5;73,2;3,1;2,2;19,2;2,3;0
333120103;60,0;12,0;1;17730;24310;31690;0,57;12820;16380;19440;21930;27040;30130;33290;40270;3,1;4,0;0,263;69,3;63,6;2,7;3,0;27,3;3,4;0
333140101;41,0;28,0;1;12850;18760;25660;0,68;7230;11090;14140;16400;20920;23430;27280;34920;4,8;6,4;0,333;58,5;50,5;4,1;3,9;37,2;4,3;0
333140102;39,0;37,0;1;10740;17270;24480;0,80;4230;9390;11870;14630;20420;23250;26750;33040;7,8;9,0;0,361;63,1;56,3;4,4;2,4;32,0;4,9;0
333180102;56,0;22,0;1;14930;23530;32160;0,73;6730;12930;17100;20060;26660;30090;34310;42670;6,3;7,3;0,331;69,3;63,1;2,9;3,3;27,8;2,9;0
333180103;72,0;8,0;1;21940;28830;36470;0,50;15800;20110;23410;26440;31340;34490;39610;48620;3,1;3,8;0,258;69,9;64,1;2,0;3,8;27,1;3,0;0
333180104;71,0;8,0;1;22200;31430;42200;0,64;15600;20290;24420;27620;34680;39300;45960;58030;3,7;4,8;0,296;72,0;64,5;2,1;5,4;23,7;4,3;0
333180105;61,0;15,0;1;18160;26390;35840;0,67;9810;16200;19960;23020;29430;33530;38700;49590;5,1;9,0;0,430;62,7;55,9;2,5;4,3;20,2;17,1;0
333180106;63,0;15,0;1;18540;27140;39280;0,76;10170;16270;20470;23670;31050;36130;43410;58820;5,8;7,8;0,374;69,0;61,3;2,1;5,6;23,8;7,2;0
333180107;70,0;9,0;1;22200;30460;42140;0,65;14370;20240;24240;27370;34000;39390;45650;61580;4,3;5,3;0,310;73,8;65,1;2,3;6,4;21,3;4,9;0
333180108;66,0;12,0;1;19550;27020;36900;0,64;12110;17630;20980;24030;30440;34850;39800;50310;4,2;5,7;0,329;70,6;64,1;2,0;4,5;22,9;6,5;0
333180109;68,0;11,0;1;20240;28010;37710;0,62;13220;18300;21770;24920;31720;35310;40640;50720;3,8;5,0;0,300;71,3;65,2;2,2;3,9;24,8;3,9;0
333180110;66,0;12,0;1;20390;27620;37910;0,63;12770;18180;21800;24940;31180;35480;40480;51360;4,0;5,0;0,297;70,7;65,3;2,3;3,1;24,9;4,4;0
333180111;73,0;7,0;1;23220;31640;41050;0,56;16100;21210;25170;28480;34810;38740;43830;52240;3,2;4,1;0,264;56,5;51,5;1,5;3,5;39,7;3,8;0
333180112;56,0;20,0;1;15290;24580;33990;0,76;7210;13550;17010;21090;27950;31950;36640;44280;6,1;7,4;0,338;72,4;65,9;2,6;3,9;24,2;3,4;0
333180113;53,0;28,0;1;12350;21910;32220;0,91;4420;9890;14710;18030;25780;30050;35450;44150;10,0;11,4;0,379;65,6;60,2;2,9;2,5;30,8;3,6;0
333180115;67,0;12,0;1;20860;29620;43030;0,75;12730;18710;22530;26660;34230;39580;46620;57660;4,5;5,9;0,324;70,2;64,0;1,9;4,3;23,7;6,1;0
333180116;60,0;15,0;1;18450;28030;37940;0,70;10520;16360;20330;24160;31010;36020;39900;50000;4,8;6,2;0,323;75,0;67,3;2,4;5,3;20,6;4,4;0
333180117;47,0;31,0;2;11220;19860;30330;0,96;3790;8560;13110;16970;23560;27670;32440;40210;10,6;11,7;0,382;76,8;69,1;3,8;3,9;19,3;3,9;0
333180118;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
333180119;32,0;58,0;1;6490;11480;19540;1,14;1630;5130;7430;9520;14200;17600;21560;26700;16,3;15,3;0,408;78,8;71,1;5,7;2,0;20,2;1,0;0
333180120;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
333180121;43,0;41,0;1;8760;16370;25250;1,01;2550;7560;10250;13460;19560;23070;27790;35350;13,8;13,7;0,401;67,7;60,5;3,8;3,4;29,8;2,5;1
333180122;28,0;54,0;1;6860;12490;20170;1,07;1930;5600;8080;10380;15370;18430;21910;26880;13,9;13,5;0,384;79,9;71,9;6,0;2,0;19,3;0,8;1
333180123;81,0;4,0;1;26240;34970;47060;0,60;19820;24100;27810;31520;39140;44390;50880;63990;3,2;4,8;0,316;71,6;66,1;1,6;3,9;18,3;10,1;0
333180124;75,0;7,0;1;22770;31790;42600;0,62;16000;20670;24720;28320;35220;39940;45910;56010;3,5;4,7;0,298;73,2;67,7;1,9;3,6;21,1;5,7;0
333220101;68,0;9,0;1;20720;27510;35890;0,55;14200;19100;21990;24750;30510;33790;38490;47670;3,4;4,3;0,274;71,7;65,6;2,5;3,6;23,7;4,6;0
333220102;67,0;8,0;1;20870;27590;36420;0,56;14740;19060;22000;25050;30380;34130;39330;47840;3,2;4,4;0,286;68,1;61,2;2,8;4,1;25,3;6,6;0
333660101;47,0;21,0;1;14940;21430;28550;0,63;7660;13110;16290;18970;23810;26660;31130;37820;4,9;6,0;0,308;73,4;65,8;4,0;3,6;23,3;3,3;0
333660102;51,0;20,0;1;15370;22060;30210;0,67;9200;13860;16920;19520;24890;28090;32370;40080;4,4;5,6;0,310;74,9;67,4;3,2;4,3;20,7;4,4;0
333660103;56,0;16,0;1;16770;23130;30040;0,57;10280;15280;18290;20610;25770;28650;32330;38400;3,7;4,5;0,272;76,7;69,7;3,4;3,6;19,8;3,5;0
334220101;64,0;10,0;1;19880;27520;36700;0,61;13330;17670;21390;24310;31070;34470;39970;49100;3,7;5,0;0,299;77,3;70,2;2,7;4,4;16,9;5,8;0
334220102;69,0;9,0;1;21690;29380;39680;0,61;14110;20010;23470;26480;32650;36980;43140;52580;3,7;4,8;0,296;74,8;67,9;2,2;4,7;19,1;6,1;0
334330101;54,0;17,0;1;16960;23140;30890;0,60;10260;15010;18480;20990;26260;28980;33290;39800;3,9;5,0;0,288;72,8;66,2;2,9;3,7;23,1;4,1;0
334330102;54,0;16,0;1;16870;23740;31510;0,62;10160;15340;18440;21000;26280;29450;34050;42610;4,2;5,0;0,291;70,8;62,4;3,3;5,1;24,0;5,2;0
334330103;64,0;11,0;1;19700;25890;33600;0,54;13300;18000;21100;23600;28630;31730;35960;44910;3,4;4,3;0,276;71,4;63,7;2,9;4,8;23,5;5,1;0
334490101;nd;nd;so;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;so;nd;nd;nd;nd;nd;nd;nd;so
334490102;65,0;9,0;1;19800;26690;34620;0,56;14200;18180;21490;24390;29580;32450;37210;45500;3,2;4,0;0,264;70,8;65,8;2,5;2,5;26,3;2,9;0
334490103;65,0;10,0;1;19600;26400;34280;0,56;13500;17950;21020;24270;29060;32550;36600;44850;3,3;4,1;0,256;72,9;66,6;2,7;3,6;24,4;2,7;0
334490104;72,0;8,0;1;21780;29770;38870;0,57;15350;20050;23450;26790;32970;36610;41870;51790;3,4;4,2;0,268;66,3;59,7;2,7;3,9;29,7;4,0;0
334490105;71,0;6,0;1;23490;30220;39810;0,54;16640;21770;24870;27420;33860;37050;42100;52970;3,2;4,1;0,270;63,0;56,9;1,6;4,5;32,5;4,5;0
334490106;54,0;20,0;1;15290;22390;31320;0,72;7870;13600;16830;19730;25680;29150;33910;42690;5,4;6,6;0,324;71,5;64,7;3,4;3,4;25,3;3,2;0
334490107;60,0;19,0;1;16980;25760;35480;0,72;8520;14550;18610;22420;29260;33220;37910;47500;5,6;7,2;0,334;67,8;60,6;3,1;4,1;28,1;4,1;0
334490108;67,0;10,0;1;20780;28690;37490;0,58;13440;18680;22380;25230;31940;35230;39640;46900;3,5;4,5;0,277;65,6;60,3;2,0;3,3;30,2;4,2;0
334490109;74,0;8,0;1;22660;29510;39820;0,58;15220;20320;23950;26490;33160;36840;43060;52270;3,4;4,2;0,271;68,6;62,5;1,9;4,2;27,5;3,9;0
334490110;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
334490111;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
334490112;67,0;10,0;1;19880;26630;35490;0,59;13490;18320;21280;24090;29700;33520;38090;45920;3,4;4,1;0,263;81,4;74,8;3,1;3,5;16,1;2,5;0
334490113;69,0;9,0;2;21620;29630;39200;0,59;14710;19910;23390;26790;32530;36890;42260;51790;3,5;4,5;0,281;79,3;73,7;2,5;3,1;16,9;3,8;0
335190101;69,0;10,0;1;20970;28730;38530;0,61;13510;18390;22840;25750;31800;35790;41560;50000;3,7;4,7;0,283;73,0;66,3;2,1;4,6;22,6;4,4;0
335190102;75,0;5,0;2;23410;31400;41440;0,57;17970;22150;25130;28470;34500;38770;44640;52960;2,9;4,0;0,270;67,4;62,6;1,8;3,0;27,3;5,3;0
335190103;61,0;15,0;1;18020;25280;34350;0,65;10220;16510;19660;22560;28540;32480;36730;45190;4,4;5,8;0,313;73,6;66,7;2,9;4,0;22,5;3,9;0
335220101;57,0;25,0;1;13820;23920;36090;0,93;6390;11160;16240;19860;28230;32870;39850;51630;8,1;11,2;0,405;72,1;64,3;2,7;5,1;21,6;6,3;0
335220102;60,0;18,0;1;17170;26380;36200;0,72;8660;14980;19200;22550;29790;33860;39190;49140;5,7;7,3;0,340;73,1;63,9;2,9;6,3;22,5;4,4;0
335220103;45,0;33,0;2;10030;20300;29920;0,98;1790;7410;12520;16850;24510;27680;32880;40680;22,8;18,4;0,395;75,2;67,9;3,6;3,7;22,1;2,7;0
335220104;60,0;18,0;1;16760;26350;36680;0,76;7450;14700;18850;22440;30180;33960;40250;50370;6,8;8,2;0,353;80,6;71,5;2,7;6,4;15,9;3,5;0
335220105;65,0;11,0;1;20900;29640;41430;0,69;12850;18860;22610;25880;34020;38330;44930;59170;4,6;6,0;0,336;73,4;62,0;2,2;9,2;20,3;6,3;0
335220106;66,0;13,0;1;20890;30640;43080;0,72;11580;18530;23070;27250;34700;40190;47280;61630;5,3;6,7;0,338;76,2;65,2;2,3;8,7;17,7;6,1;0
335220107;64,0;15,0;1;19440;29270;41520;0,75;10110;16910;21210;25480;32780;38270;45090;59180;5,9;7,8;0,368;76,5;66,1;2,4;8,0;17,8;5,7;0
335220108;61,0;16,0;1;17820;26140;35580;0,68;9720;15810;19500;22620;29750;33530;38360;47750;4,9;5,8;0,307;69,6;62,1;2,8;4,7;26,7;3,7;0
335220109;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;5
335220110;44,0;37,0;1;9000;18240;29540;1,13;1580;7210;11030;14990;22070;26710;34030;42180;26,7;18,6;0,425;72,0;63,7;3,2;5,1;24,7;3,3;0
335220111;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;5
335220112;53,0;29,0;2;12270;20010;27890;0,78;5780;10110;14400;16700;22680;25990;30580;38220;6,6;8,4;0,344;70,1;63,4;3,1;3,6;28,0;1,9;0
335220113;26,0;60,0;1;5410;11220;18200;1,14;750;4300;6720;9020;13740;16590;20210;26210;34,9;22,1;0,427;75,7;67,8;6,4;1,5;23,4;0,9;0
335290101;57,0;17,0;1;16380;24790;36470;0,81;10110;14860;18090;21220;28300;33170;39550;53570;5,3;7,4;0,372;54,7;44,3;2,7;7,7;35,8;9,5;0
335290102;63,0;12,0;1;18510;27000;37440;0,70;12300;17100;20310;23580;30460;34890;40910;53460;4,3;5,9;0,344;48,3;40,3;2,0;6,0;41,9;9,8;0
335290103;51,0;20,0;1;15700;21930;30430;0,67;9320;13790;17130;19420;24880;28430;33270;42400;4,6;5,9;0,324;51,1;41,6;3,9;5,6;42,7;6,2;0
335290104;57,0;14,0;1;17650;24290;32550;0,61;11770;16120;18860;21300;27120;30650;35300;45800;3,9;5,2;0,311;58,9;49,0;2,9;7,0;34,9;6,2;0
335290105;57,0;17,0;1;16480;23760;32020;0,65;9970;14510;18180;20930;26270;29960;35360;43390;4,4;5,7;0,316;58,4;51,1;3,4;3,9;35,5;6,1;0
335290106;65,0;7,0;2;19670;26530;35750;0,61;15120;18710;21100;23640;29560;33770;38700;48050;3,2;4,0;0,276;54,6;45,6;2,0;7,0;39,8;5,6;0
335290107;56,0;15,0;1;17480;24350;34490;0,70;11130;15530;18980;21430;27760;31940;38630;49730;4,5;7,6;0,395;54,2;43,1;3,1;8,0;33,9;11,9;0
335290201;67,0;13,0;1;20950;33250;55860;1,05;11920;18460;23200;27680;40100;49450;65240;95300;8,0;13,0;0,494;43,9;33,2;2,0;8,7;34,4;21,7;0
335290301;58,0;12,0;1;18400;24260;32170;0,57;12730;16870;19710;22100;27100;30300;34480;42170;3,3;4,3;0,276;67,9;59,0;3,3;5,6;27,1;5,0;0
335500101;58,0;15,0;1;17380;24800;32360;0,60;10450;15550;18880;21770;27340;30430;34560;42180;4,0;5,1;0,291;74,9;67,2;3,1;4,6;21,7;3,4;0
335500102;67,0;7,0;2;21290;27320;34650;0,49;16020;19770;22580;24600;29930;32960;37130;44880;2,8;3,3;0,230;63,8;58,6;1,6;3,6;33,6;2,6;0
335500103;55,0;21,0;1;15360;23750;32450;0,72;8560;13490;17410;20600;27140;30430;35130;43820;5,1;6,7;0,328;74,1;66,6;2,9;4,6;20,4;5,5;0
335500104;68,0;10,0;1;20120;27630;36700;0,60;13790;18620;21520;25110;30470;34140;38980;47240;3,4;4,8;0,299;61,6;56,5;1,9;3,2;31,3;7,1;0
335500105;46,0;34,0;1;10260;19190;28340;0,94;3640;7900;12430;15960;22890;26290;31150;37330;10,3;11,9;0,378;73,0;65,5;3,6;3,9;23,8;3,2;0
335500106;58,0;16,0;1;17000;24440;32360;0,63;10150;15180;18610;21430;27330;30490;34510;42300;4,2;5,3;0,294;75,5;68,8;2,9;3,8;20,9;3,6;0
335500107;54,0;22,0;1;15010;22000;29010;0,64;7550;13070;16540;19350;24480;27190;31100;37900;5,0;6,4;0,313;84,8;77,3;4,2;3,3;12,7;2,5;0
335500108;64,0;14,0;1;18490;25380;33560;0,59;11540;16610;20020;22370;28060;31750;35540;44890;3,9;4,9;0,287;69,2;63,6;2,7;2,9;28,4;2,4;0
335500109;61,0;15,0;1;18690;25350;33240;0,57;11080;16550;20230;22900;28230;31290;35890;43760;4,0;5,0;0,288;73,7;66,7;2,5;4,5;22,3;4,0;0
335500110;49,0;28,0;1;12420;19600;27170;0,75;6030;10730;14110;16600;22200;25490;29250;35050;5,8;7,2;0,330;77,9;71,1;4,0;2,8;19,0;3,1;0
340030101;23,0;59,0;1;2560;10690;18860;1,52;0;1170;4470;7880;13970;17170;20540;27360;so;232,3;0,498;53,7;40,1;8,7;4,9;41,1;5,2;0
340030102;32,0;44,0;1;8570;15820;22910;0,91;2490;6860;9770;12800;18210;21190;24650;29400;11,8;13,9;0,401;54,2;43,5;5,4;5,3;40,1;5,7;0
340030103;43,0;29,0;1;12580;19070;26160;0,71;6090;10700;13960;16720;21610;24250;27910;34090;5,6;7,1;0,324;51,0;42,4;5,0;3,6;44,9;4,1;0
340030104;46,0;26,0;1;13300;20800;28350;0,72;7240;11200;14900;18030;23570;26690;30670;36480;5,0;6,7;0,325;46,3;37,5;3,4;5,4;47,2;6,5;0
340030106;40,0;34,0;1;10580;18020;25880;0,85;4970;9350;12520;15210;20950;23620;28390;34780;7,0;8,6;0,356;52,7;44,8;4,2;3,7;41,1;6,2;0
340030108;nd;nd;so;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;so;nd;nd;nd;nd;nd;nd;nd;so
340030109;43,0;32,0;1;11540;18860;27320;0,84;4130;9310;12920;16620;22300;25460;28830;35040;8,5;10,4;0,373;45,9;36,7;4,1;5,1;46,8;7,3;0
340030110;57,0;21,0;2;15380;23780;34930;0,82;7880;13140;17130;20920;27730;32030;38140;50860;6,5;8,6;0,382;43,3;34,7;2,5;6,1;43,7;13,0;0
340030201;43,0;30,0;1;12170;19460;28090;0,82;4840;10100;13810;16820;22740;26130;30670;39910;8,3;11,0;0,392;38,3;29,1;5,1;4,1;51,9;9,8;0
340030301;58,0;16,0;1;17000;25330;35980;0,75;10200;15100;18850;22090;28490;33110;39650;53890;5,3;7,8;0,383;47,0;36,6;2,7;7,7;38,1;14,9;0
340220101;65,0;9,0;2;21660;30310;42450;0,69;14570;19740;23540;26900;34450;38940;46370;65550;4,5;7,4;0,401;63,8;56,5;2,6;4,7;19,5;16,7;0
340220102;60,0;14,0;1;18260;25430;35830;0,69;11970;16860;20030;22550;28210;32440;39240;51820;4,3;6,2;0,357;72,0;63,3;2,8;5,9;20,6;7,4;0
340220103;59,0;17,0;1;16940;24190;33270;0,68;9770;15260;18710;21350;27090;31330;35790;43980;4,5;5,4;0,305;74,6;65,6;3,8;5,2;20,2;5,2;0
340230101;44,0;23,0;1;14640;21300;28640;0,66;8280;12680;15690;18760;24220;27060;30680;37060;4,5;6,0;0,317;48,7;41,0;3,7;4,0;46,5;4,8;0
340230102;57,0;15,0;1;17640;24650;33560;0,65;11360;15890;19130;22150;27630;31340;36430;48400;4,3;5,9;0,336;61,8;50,5;2,8;8,5;30,0;8,2;0
340280101;35,0;31,0;2;11430;18860;25640;0,75;3450;9530;13490;15520;21650;24070;27510;33100;9,6;12,0;0,388;48,9;37,3;3,4;8,2;43,3;7,8;0
340280102;29,0;46,0;1;7280;15030;22120;0,99;0;5570;9240;12190;17500;20470;24460;30410;so;32,2;0,417;48,0;40,9;3,7;3,4;47,2;4,8;0
